ToneOrder   AzOrder    TimeOrder     mtime     btime     rtime
        2         2       3.7815    0.7083    0.7719    2.3013
        2         3       3.8482    0.7083    0.8487    2.2912
        4         1       4.3149    1.4167    0.7321    2.1661
        1         4       4.3815    2.1250    0.7650    1.4915
        1         7       4.3482    2.1250    0.7783    1.4449
        3         4       4.5149    2.1250    0.6119    1.7780
        2         5       3.9482    0.7083    0.7216    2.5183
        3         6       3.9482    0.7083    0.7833    2.4566
        2         4       4.0815    1.4167    0.5304    2.1344
        2         1       4.3815    2.1250    0.5015    1.7551
        2         4       4.5149    2.1250    0.6885    1.7014
        4         6       4.1482    1.4167    0.5511    2.1805
        1         4       4.2482    1.4167    0.5287    2.3029
        2         7       4.4815    2.1250    0.7893    1.5673
        4         4       4.4482    2.1250    0.5580    1.7652
        3         7       4.4149    2.1250    0.5547    1.7352
        2         4       4.4482    2.1250    0.7789    1.5443
        4         3       3.9482    0.7083    0.6610    2.5788
        2         4       3.9149    0.7083    0.7669    2.4396
        2         7       4.3482    2.1250    0.5781    1.6451
        2         4       4.3482    2.1250    0.5369    1.6863
        4         7       4.4149    2.1250    0.6552    1.6347
        2         4       4.4815    2.1250    0.6894    1.6671
        4         1       4.4149    2.1250    0.6105    1.6794
        1         1       3.6149    0.0000    0.5284    3.0865
        2         3       4.2149    1.4167    0.5522    2.2460
        4         3       3.5815    0.0000    0.5172    3.0643
        3         4       4.0482    0.7083    0.8266    2.5133
        2         3       4.0149    0.7083    0.8338    2.4728
        3         3       3.7149    0.0000    0.7762    2.9387
        4         1       4.2815    1.4167    0.6617    2.2032
        4         3       4.1815    1.4167    0.7123    2.0526
        4         3       3.7149    0.0000    0.7871    2.9278
        3         3       3.5149    0.0000    0.6055    2.9093
        4         2       3.8482    0.7083    0.5118    2.6280
        2         2       3.6149    0.0000    0.7191    2.8957
        2         3       3.7815    0.7083    0.8767    2.1965
        3         3       3.5149    0.0000    0.9273    2.5876
        2         5       4.2482    1.4167    0.5983    2.2333
        4         5       3.6815    0.0000    0.6240    3.0575
        1         6       4.0149    0.7083    0.5055    2.8010
        4         7       3.9815    0.7083    0.6717    2.6015
        2         6       3.8482    0.7083    0.8938    2.2460
        2         5       3.9482    0.7083    0.8488    2.3911
        1         2       4.5149    2.1250    0.7598    1.6301
        2         5       4.3482    2.1250    0.5476    1.6756
        2         7       4.1149    1.4167    0.8053    1.8929
        4         7       3.4815    0.0000    0.8664    2.6152
        4         5       4.0815    1.4167    0.5239    2.1410
        1         2       4.4482    2.1250    0.7979    1.5253
        1         5       4.5815    2.1250    0.6652    1.7913
        2         3       4.1149    1.4167    0.6105    2.0877
        2         4       3.9482    0.7083    0.9084    2.3315
        1         2       4.1149    1.4167    0.6878    2.0104
        3         2       3.5815    0.0000    0.6527    2.9289
        3         1       4.0149    0.7083    0.6247    2.6818
        4         2       3.8298    0.7083    0.5925    2.5289
        1         4       4.3631    1.4167    0.5788    2.3676
        4         6       4.3631    1.4167    0.7341    2.2123
        4         4       4.1631    1.4167    0.5437    2.2027
        1         5       3.8631    0.7083    0.6866    2.4681
        3         7       4.1298    1.4167    0.5216    2.1915
        4         4       4.4631    2.1250    0.5045    1.8336
        1         4       3.6964    0.0000    0.5049    3.1915
        3         4       3.6964    0.0000    0.7003    2.9961
        3         2       4.1631    1.4167    0.6288    2.1176
        1         2       3.7631    0.0000    0.8173    2.9458
        1         3       4.0631    0.7083    0.6469    2.7078
        1         1       4.3631    1.4167    0.8246    2.1218
        3         4       4.6631    2.1250    0.7324    1.8057
        1         6       4.3631    1.4167    0.5678    2.3787
        1         7       4.0631    0.7083    0.7292    2.6255
        2         6       3.9964    0.7083    0.6186    2.6695
        1         6       3.6298    0.0000    0.9464    2.6833
        4         4       4.1631    1.4167    0.6866    2.0598
        3         6       4.2964    1.4167    0.6763    2.2034
        3         6       3.7964    0.0000    0.7660    3.0304
        3         5       3.9298    0.7083    0.5059    2.7155
        3         2       4.5964    2.1250    0.5323    1.9391
        3         5       4.5964    2.1250    0.6794    1.7920
        2         6       3.8631    0.7083    0.8568    2.2980
        3         6       3.6631    0.0000    0.6293    3.0338
        1         4       4.1298    1.4167    0.7756    1.9374
        2         5       3.9631    0.7083    0.7725    2.4823
        2         6       3.8964    0.7083    0.6904    2.4977
        3         3       4.4298    2.1250    0.7309    1.5739
        1         1       4.2964    1.4167    0.8505    2.0293
        1         2       3.9631    0.7083    0.8639    2.3909
        1         4       4.2298    1.4167    0.5919    2.2212
        4         2       4.1631    1.4167    0.6932    2.0532
