ToneOrder   AzOrder    TimeOrder     mtime     btime     rtime
        4         5       4.7845    2.8333    0.7333    1.2179
        3         4       3.8845    0.7083    0.6908    2.4854
        4         1       4.5512    2.1250    0.5864    1.8398
        1         2       3.9512    0.7083    0.6478    2.5950
        3         2       3.4845    0.0000    0.5688    2.9158
        4         5       4.4179    2.1250    0.5807    1.7122
        1         6       3.7512    0.7083    0.5431    2.4997
        3         7       3.8179    0.7083    0.5884    2.5211
        1         4       4.4845    2.1250    0.6840    1.6755
        2         1       4.2845    2.1250    0.6171    1.5424
        4         4       4.3845    2.1250    0.6857    1.5738
        3         4       3.7179    0.0000    0.5352    3.1827
        3         2       4.1179    1.4167    0.7811    1.9201
        1         1       3.8512    0.7083    0.6230    2.5199
        4         3       4.2179    1.4167    0.8190    1.9822
        3         3       3.5845    0.0000    0.7769    2.8076
        2         4       3.8845    0.7083    0.7704    2.4057
        4         1       4.4845    2.1250    0.6361    1.7234
        2         2       4.0179    0.7083    0.6985    2.6110
        4         5       4.5179    2.1250    0.5214    1.8715
        4         2       4.3179    2.1250    0.6083    1.5845
        3         4       4.1512    1.4167    0.5667    2.1678
        2         3       3.8179    0.7083    0.7252    2.3843
        2         5       4.2179    1.4167    0.5914    2.2098
        1         3       4.0179    1.4167    0.5308    2.0704
        2         5       4.0512    1.4167    0.5731    2.0614
        2         7       4.1845    1.4167    0.8097    1.9582
        2         6       3.8845    0.7083    0.6542    2.5220
        2         5       3.9845    0.7083    0.5237    2.7525
        3         5       3.6179    0.0000    0.9163    2.7016
        2         7       4.0845    1.4167    0.7517    1.9161
        4         4       4.3845    2.1250    0.7675    1.4920
        3         5       3.9179    0.7083    0.5570    2.6525
        4         5       3.6512    0.0000    0.6284    3.0228
        3         4       3.8845    0.7083    0.7669    2.4092
        3         1       4.3845    2.1250    0.6316    1.6279
        2         2       3.8179    0.7083    0.6233    2.4863
        4         3       3.8179    0.7083    0.8425    2.2671
        1         5       4.0179    1.4167    0.8087    1.7925
        2         4       3.9179    0.7083    0.8538    2.3557
        1         5       3.9179    0.7083    0.8621    2.3474
        1         6       3.7512    0.7083    0.5780    2.4649
        2         3       4.2845    2.1250    0.5942    1.5653
        1         4       3.8512    0.7083    0.5595    2.5834
        3         3       3.8179    0.7083    0.6809    2.4286
        2         6       4.4845    2.1250    0.5980    1.7615
        4         4       4.1845    1.4167    0.6663    2.1016
        2         1       4.5179    2.1250    0.7366    1.6563
        3         2       3.8512    0.7083    0.8909    2.2519
        2         5       4.4845    2.1250    0.5430    1.8166
        2         2       4.4512    2.1250    0.5991    1.7271
        1         2       3.5845    0.0000    0.5610    3.0235
        2         5       4.4845    2.1250    0.7020    1.6576
        1         3       4.1512    1.4167    0.6830    2.0516
        2         1       4.2512    1.4167    0.6362    2.1984
        2         4       4.4512    2.1250    0.5090    1.8172
        3         2       4.1464    1.4167    0.5442    2.1856
        1         4       4.1131    1.4167    0.7795    1.9169
        1         3       3.7464    0.7083    0.7914    2.2467
        4         2       3.8464    0.7083    0.6879    2.4501
        1         2       3.6131    0.0000    0.6616    2.9515
        1         4       4.1131    1.4167    0.7015    1.9949
        3         1       4.2464    2.1250    0.7328    1.3886
        3         4       4.3798    2.1250    0.6362    1.6185
        1         7       4.3464    2.1250    0.6326    1.5888
        2         4       4.4464    2.1250    0.7442    1.5772
        3         1       4.3464    2.1250    0.5798    1.6416
        1         4       4.3464    2.1250    0.6774    1.5440
        4         6       4.1464    1.4167    0.5669    2.1628
        1         5       3.7131    0.7083    0.6583    2.3465
        3         3       4.1131    1.4167    0.6614    2.0351
        4         3       3.5131    0.0000    0.8510    2.6620
        4         1       4.0798    1.4167    0.6535    2.0095
        3         4       4.4798    2.1250    0.6230    1.7318
        3         6       4.1798    1.4167    0.6759    2.0872
        3         7       3.8798    0.7083    0.5535    2.6180
        1         4       4.4464    2.1250    0.6795    1.6419
        3         5       3.8798    0.7083    0.7247    2.4467
        3         2       4.4131    2.1250    0.5115    1.7766
        3         3       3.7131    0.7083    0.6026    2.4021
        4         1       4.0131    1.4167    0.6053    1.9911
        3         4       4.4798    2.1250    0.7093    1.6455
        1         6       4.2131    1.4167    0.7176    2.0788
        2         4       4.1798    1.4167    0.7471    2.0160
        2         4       3.4464    0.0000    0.8402    2.6063
        1         3       3.9464    0.7083    0.6977    2.5404
        4         6       4.4798    2.1250    0.6759    1.6788
        4         6       3.6131    0.0000    0.6082    3.0049
        1         5       3.9464    0.7083    0.7933    2.4448
        1         3       4.1131    1.4167    0.7306    1.9659
        2         4       3.8131    0.7083    0.5268    2.5780
        2         7       4.3464    2.1250    0.5894    1.6320
        3         5       4.2131    1.4167    0.5649    2.2315
        2         2       4.3131    2.1250    0.6428    1.5453
        4         2       3.5798    0.0000    0.8144    2.7654
        1         2       3.4464    0.0000    0.8370    2.6094
        2         4       3.9798    1.4167    0.6528    1.9103
        4         5       3.7131    0.7083    0.7352    2.2695
        4         2       4.3131    2.1250    0.5163    1.6718
        4         4       4.1131    1.4167    0.5334    2.1631
        1         1       4.4798    2.1250    0.5973    1.7575
        4         4       4.4131    2.1250    0.6693    1.6187
        3         7       4.4464    2.1250    0.6535    1.6679
        1         6       3.9464    0.7083    0.8183    2.4198
        1         7       3.8464    0.7083    0.8301    2.3080
        1         4       4.4464    2.1250    0.5717    1.7497
        2         5       3.9798    0.7083    0.5005    2.7710
        1         2       4.4464    2.1250    0.6947    1.6268
        3         3       3.8131    0.7083    0.6261    2.4787
        3         5       4.1464    1.4167    0.7581    1.9716
        4         3       4.0464    1.4167    0.7431    1.8867
        2         6       4.3131    2.1250    0.7494    1.4387
        2         4       4.1482    1.4167    0.7749    1.9567
        2         4       3.5149    0.0000    0.7883    2.7265
        4         6       4.1815    1.4167    0.6746    2.0903
        4         7       3.8482    0.7083    0.6944    2.4454
        2         5       4.1482    1.4167    0.8031    1.9285
        2         3       4.1149    1.4167    0.5260    2.1722
        1         1       4.2815    1.4167    0.5180    2.3469
        1         3       4.1149    1.4167    0.8237    1.8745
        3         5       4.2815    1.4167    0.8099    2.0549
        1         5       3.5815    0.0000    0.5036    3.0779
        2         3       4.0815    1.4167    0.8108    1.8541
        1         4       3.8149    0.7083    0.5394    2.5672
        4         7       4.3815    2.1250    0.7836    1.4730
        4         4       4.4482    2.1250    0.5579    1.7654
        3         5       3.7815    0.7083    0.7396    2.3336
        4         3       4.2482    1.4167    0.7966    2.0350
        1         3       3.6815    0.0000    0.9070    2.7746
        3         5       4.1815    1.4167    0.6831    2.0818
        1         4       3.9815    0.7083    0.6266    2.6467
        1         5       3.8815    0.7083    0.8933    2.2799
        1         3       4.0482    1.4167    0.6244    2.0071
        2         5       4.2149    1.4167    0.5776    2.2206
        2         5       3.6815    0.0000    0.9446    2.7369
        4         3       4.1815    1.4167    0.5486    2.2163
        4         6       4.4482    2.1250    0.7345    1.5887
        2         6       3.7815    0.0000    0.5379    3.2436
        4         7       3.7815    0.7083    0.6139    2.4593
        4         7       3.5815    0.0000    0.6342    2.9474
        3         4       4.4815    2.1250    0.7928    1.5637
        2         2       4.2482    1.4167    0.6888    2.1427
        4         5       4.4482    2.1250    0.5787    1.7445
        4         3       4.3149    1.4167    0.6097    2.2885
        4         5       4.2149    1.4167    0.6391    2.1591
        2         7       4.0482    1.4167    0.7796    1.8519
        4         7       3.7149    0.0000    0.7188    2.9961
        4         4       4.4482    2.1250    0.6889    1.6343
        4         2       4.2149    1.4167    0.7090    2.0893
        4         5       4.4815    2.1250    0.6666    1.6900
        4         4       3.9482    0.7083    0.8552    2.3847
        2         6       4.1815    1.4167    0.5514    2.2135
        3         3       4.4482    2.1250    0.5710    1.7522
        3         3       3.6482    0.0000    0.5761    3.0721
        3         3       3.6815    0.0000    0.8481    2.8334
        1         6       4.5482    2.1250    0.6243    1.7989
        3         4       4.1815    1.4167    0.7345    2.0304
        2         7       4.4482    2.1250    0.5153    1.8079
        4         5       4.2815    1.4167    0.7087    2.1562
        2         7       4.0482    1.4167    0.5358    2.0958
        1         7       3.5815    0.0000    0.7715    2.8100
        4         4       4.4482    2.1250    0.6857    1.6376
        4         7       4.4815    2.1250    0.5867    1.7699
        4         6       3.8482    0.7083    0.5909    2.5490
        4         4       4.1482    1.4167    0.5379    2.1936
        1         4       3.5482    0.0000    0.5698    2.9784
        3         7       4.3815    2.1250    0.5805    1.6760
        4         6       3.9482    0.7083    0.7514    2.4884
        1         5       4.0298    0.7083    0.9022    2.4192
        3         4       4.0298    0.7083    0.5048    2.8166
        2         3       3.8631    0.7083    0.8884    2.2664
        2         2       4.0631    0.7083    0.7048    2.6500
        2         3       3.9298    0.7083    0.6182    2.6032
        4         6       4.5631    2.1250    0.5490    1.8891
        2         7       3.8964    0.7083    0.7013    2.4867
        1         5       4.2298    1.4167    0.8404    1.9727
        2         6       3.9964    0.7083    0.5782    2.7099
        2         7       4.0298    0.7083    0.7978    2.5236
        3         6       4.0964    0.7083    0.8715    2.5166
        4         7       3.9964    0.7083    0.7113    2.5768
        3         5       4.2631    1.4167    0.8489    1.9975
        3         6       3.9964    0.7083    0.5356    2.7525
        4         7       4.0964    0.7083    0.6577    2.7304
        4         6       4.0964    0.7083    0.6346    2.7535
        4         3       4.4298    2.1250    0.5747    1.7301
        4         2       3.9631    0.7083    0.7542    2.5005
        3         1       4.0298    0.7083    0.7120    2.6094
        4         1       3.6298    0.0000    0.7824    2.8474
        2         2       3.9964    0.7083    0.8992    2.3889
        1         2       3.8631    0.0000    0.6151    3.2480
        1         2       3.8298    0.0000    0.6712    3.1586
        4         3       3.9298    0.7083    0.8312    2.3902
        2         1       4.2964    1.4167    0.8445    2.0353
        3         2       4.1298    0.7083    0.5255    2.8960
        3         1       3.8964    0.7083    0.8112    2.3769
        1         2       3.8964    0.7083    0.7691    2.4190
        3         2       3.6298    0.0000    0.6591    2.9706
        2         1       3.8964    0.7083    0.8978    2.2903
        1         3       4.2631    1.4167    0.6703    2.1761
        2         6       4.6298    2.1250    0.6711    1.8336
        3         7       4.0631    0.7083    0.7137    2.6411
        3         6       3.9298    0.7083    0.7137    2.5077
        1         7       4.0298    0.7083    0.6663    2.6551
        4         7       3.6631    0.0000    0.7155    2.9476
        4         5       4.1964    1.4167    0.6205    2.1593
        3         7       4.3631    1.4167    0.6315    2.3149
        1         7       3.7631    0.0000    0.7968    2.9663
        2         6       4.0298    0.7083    0.7003    2.6211
        3         3       4.3964    2.1250    0.6554    1.6160
        2         1       4.1964    1.4167    0.8084    1.9714
        2         3       4.2298    1.4167    0.7916    2.0215
        3         6       4.5964    2.1250    0.5042    1.9673
        4         3       4.4631    2.1250    0.5771    1.7610
        2         5       4.1964    1.4167    0.5786    2.2012
        1         7       4.1631    1.4167    0.6095    2.1370
        3         7       3.6298    0.0000    0.7416    2.8882
        2         6       4.0298    0.7083    0.7387    2.5827
        2         3       4.4964    2.1250    0.7395    1.6319
        2         1       4.1631    1.4167    0.5125    2.2340
        1         3       4.1964    1.4167    0.5179    2.2619
        1         6       4.5298    2.1250    0.7757    1.6291
        3         7       3.9298    0.7083    0.5493    2.6721
        3         7       3.7964    0.0000    0.5588    3.2377
        1         5       4.2964    1.4167    0.6898    2.1900
        3         6       4.0929    0.7083    0.8217    2.5628
        2         7       4.0262    0.7083    0.5603    2.7576
        3         5       4.3262    1.4167    0.7908    2.1188
        2         6       4.2595    0.7083    0.6525    2.8987
        1         6       3.8929    0.0000    0.6129    3.2800
        1         7       4.2595    0.7083    0.6133    2.9379
        1         5       4.4262    1.4167    0.5241    2.4854
        3         6       4.1595    0.7083    0.5273    2.9239
        4         7       4.1595    0.7083    0.5566    2.8946
        1         7       3.8262    0.0000    0.7387    3.0875
