ToneOrder   AzOrder    TimeOrder     mtime     btime     rtime
        3         5       4.7554    2.8333    0.5361    1.3860
        3         3       4.2220    1.4167    0.6672    2.1382
        4         6       4.5887    2.1250    0.8173    1.6464
        3         7       4.0220    0.7083    0.8909    2.4228
        3         4       4.6554    2.1250    0.7665    1.7638
        3         4       3.6554    0.0000    0.6927    2.9627
        2         1       4.4220    2.1250    0.6038    1.6932
        1         3       4.0887    1.4167    0.6763    1.9958
        2         1       4.2220    1.4167    0.8386    1.9668
        4         4       4.5220    2.1250    0.6761    1.7209
        2         4       3.7220    0.0000    0.8532    2.8688
        3         7       4.6220    2.1250    0.6938    1.8032
        3         4       4.5220    2.1250    0.5466    1.8504
        4         5       3.9887    0.7083    0.8443    2.4360
        1         3       4.1554    1.4167    0.6024    2.1363
        4         1       4.1887    1.4167    0.7899    1.9821
        1         4       4.4220    2.1250    0.5407    1.7564
        4         1       4.4220    2.1250    0.7876    1.5094
        1         1       3.7220    0.0000    0.5325    3.1895
        1         4       4.5220    2.1250    0.7675    1.6295
        2         7       4.5220    2.1250    0.8119    1.5852
        2         4       4.5554    2.1250    0.5337    1.8966
        2         4       3.6554    0.0000    0.6242    3.0312
        4         4       3.6220    0.0000    0.8187    2.8034
        3         3       3.7887    0.7083    0.8002    2.2802
        4         3       3.6220    0.0000    0.9574    2.6646
        3         2       3.8554    0.7083    0.8388    2.3082
        2         5       4.3887    2.1250    0.5042    1.7595
        1         6       3.8887    0.7083    0.5813    2.5990
        2         6       3.6554    0.0000    0.9823    2.6731
        2         6       3.6220    0.0000    0.5711    3.0510
        3         3       4.3887    2.1250    0.5333    1.7304
        3         2       4.0220    0.7083    0.7131    2.6006
        2         4       4.1887    1.4167    0.5954    2.1766
        3         7       4.6220    2.1250    0.6094    1.8877
        3         4       4.5220    2.1250    0.7898    1.6072
        1         1       4.4887    2.1250    0.5077    1.8560
        3         1       3.5887    0.0000    0.6275    2.9612
        1         1       3.7554    0.0000    0.6246    3.1308
        4         2       3.8220    0.7083    0.5770    2.5367
        2         3       3.9887    0.7083    0.6676    2.6128
        1         5       4.3554    1.4167    0.6885    2.2502
        4         4       4.0220    0.7083    0.6530    2.6607
        1         5       3.8554    0.7083    0.5009    2.6462
        3         2       4.3887    2.1250    0.6365    1.6271
        4         2       3.5220    0.0000    0.5034    3.0186
        3         1       3.9887    0.7083    0.8348    2.4455
        3         3       4.3554    1.4167    0.5834    2.3553
        4         3       3.7220    0.0000    0.6985    3.0235
        2         5       4.1220    1.4167    0.5419    2.1635
        2         5       3.5220    0.0000    0.9166    2.6054
        3         3       4.3554    1.4167    0.7112    2.2275
        3         3       3.6554    0.0000    0.9798    2.6755
        1         3       3.5887    0.0000    0.5527    3.0360
        1         3       3.7220    0.0000    0.6435    3.0785
        4         3       3.6554    0.0000    0.8639    2.7915
        1         5       4.1274    1.4167    0.5940    2.1168
        3         4       3.8940    0.7083    0.8011    2.3846
        2         1       4.3274    2.1250    0.6142    1.5882
        2         2       3.8940    0.7083    0.6610    2.5247
        3         1       3.8607    0.7083    0.6205    2.5319
        3         4       4.5274    2.1250    0.7623    1.6401
        2         7       4.3274    2.1250    0.7836    1.4188
        4         6       3.9274    0.7083    0.5966    2.6225
        1         5       3.8940    0.7083    0.7991    2.3867
        1         5       3.5607    0.0000    0.5319    3.0288
        2         5       3.6940    0.0000    0.5472    3.1468
        4         4       3.7607    0.7083    0.8327    2.2197
        1         2       4.2940    1.4167    0.7169    2.1605
        2         5       4.3274    2.1250    0.7581    1.4443
        1         4       3.8607    0.7083    0.8598    2.2926
        1         4       3.4940    0.0000    0.8614    2.6327
        1         6       4.2607    1.4167    0.5749    2.2692
        3         7       3.8607    0.7083    0.6761    2.4762
        1         5       4.1607    1.4167    0.8114    1.9327
        4         4       3.7940    0.7083    0.5397    2.5460
        1         6       4.0274    1.4167    0.6160    1.9947
        4         7       3.7607    0.7083    0.8361    2.2163
