ToneOrder   AzOrder    TimeOrder     mtime     btime     rtime
        4         1       3.7077    0.0000    0.9466    2.7611
        2         3       4.1411    1.4167    0.7220    2.0024
        2         1       4.1411    1.4167    0.5603    2.1641
        3         3       4.2411    1.4167    0.8561    1.9683
        2         6       4.4411    2.1250    0.5254    1.7907
        3         5       3.8077    0.7083    0.7191    2.3803
        4         3       4.1744    1.4167    0.6473    2.1105
        1         3       3.7077    0.0000    0.5694    3.1383
        1         4       4.0411    0.7083    0.5726    2.7602
        3         1       4.4411    2.1250    0.7124    1.6036
        2         2       3.9411    0.7083    0.9264    2.3064
        4         5       4.3744    2.1250    0.7203    1.5291
        2         2       4.6077    2.1250    0.5321    1.9507
        3         4       4.3077    1.4167    0.6531    2.2380
        2         1       4.5077    2.1250    0.5787    1.8040
        4         1       3.5744    0.0000    0.8361    2.7383
        4         3       4.3077    1.4167    0.5403    2.3507
        1         1       4.1411    1.4167    0.6226    2.1018
        3         2       4.0744    0.7083    0.5982    2.7678
        2         4       4.2744    1.4167    0.5367    2.3210
        3         6       4.1744    1.4167    0.6617    2.0960
        1         6       3.7077    0.0000    0.8666    2.8412
        3         3       4.4744    2.1250    0.7378    1.6116
        1         3       3.5744    0.0000    0.9541    2.6203
        4         3       3.6411    0.0000    0.5172    3.1239
        4         2       3.9077    0.7083    0.5972    2.6022
        2         1       3.9077    0.7083    0.5794    2.6200
        4         2       4.0077    0.7083    0.8255    2.4739
        2         3       4.0077    0.7083    0.8423    2.4571
        2         4       3.9077    0.7083    0.7486    2.4508
        2         5       3.9411    0.7083    0.6595    2.5732
        4         5       3.5411    0.0000    0.9742    2.5669
        2         6       3.9077    0.7083    0.6236    2.5758
        4         7       3.8411    0.7083    0.7867    2.3460
        1         4       4.4077    2.1250    0.7154    1.5673
        1         5       3.9411    0.7083    0.8904    2.3423
        2         4       4.0077    0.7083    0.6874    2.6120
        2         6       4.1077    1.4167    0.5190    2.1720
        2         3       4.5744    2.1250    0.6998    1.7496
        1         3       3.6077    0.0000    0.8390    2.7687
        2         6       4.4744    2.1250    0.6848    1.6646
        1         7       4.0744    0.7083    0.8856    2.4805
        4         4       4.4077    2.1250    0.7758    1.5070
        3         6       4.1411    1.4167    0.5284    2.1960
        1         4       4.3411    1.4167    0.5794    2.3450
        1         7       4.3744    2.1250    0.6158    1.6336
        2         5       4.2077    1.4167    0.6950    2.0960
        3         6       4.0411    0.7083    0.7275    2.6052
        3         3       4.6077    2.1250    0.7353    1.7474
        2         1       4.2744    1.4167    0.8155    2.0423
        1         3       4.3411    1.4167    0.5647    2.3597
        1         4       3.8744    0.7083    0.9049    2.2612
        1         2       4.0744    1.4167    0.8420    1.8158
        2         2       3.5744    0.0000    0.8948    2.6796
        3         4       4.2077    1.4167    0.5462    2.2449
        1         4       3.6744    0.0000    0.8906    2.7838
        2         7       4.4988    2.1250    0.5136    1.8602
        3         5       4.1321    1.4167    0.6097    2.1057
        2         3       4.2655    1.4167    0.6002    2.2486
        4         4       3.9321    0.7083    0.6458    2.5780
        3         5       3.9655    0.7083    0.7027    2.5545
        1         2       4.3988    2.1250    0.7070    1.5668
        3         4       4.2655    1.4167    0.5985    2.2503
        3         5       3.8655    0.7083    0.5926    2.5646
        3         4       3.9655    0.7083    0.5359    2.7213
        4         6       4.2988    1.4167    0.7445    2.1376
        3         6       3.6655    0.0000    0.7072    2.9583
        1         3       4.3321    2.1250    0.5159    1.6912
        2         2       3.9321    0.7083    0.6762    2.5476
        3         1       4.0321    0.7083    0.7462    2.5776
        3         3       4.0655    1.4167    0.7768    1.8720
        1         5       4.1988    1.4167    0.8051    1.9770
        2         7       4.1655    1.4167    0.6410    2.1078
        3         4       4.3321    2.1250    0.5042    1.7029
        3         4       3.5988    0.0000    0.6931    2.9057
        4         1       4.5655    2.1250    0.5173    1.9232
        4         4       4.4321    2.1250    0.6259    1.6812
        2         4       3.7655    0.0000    0.5075    3.2580
        1         7       4.5655    2.1250    0.7270    1.7135
        2         4       4.5988    2.1250    0.7481    1.7257
        1         1       4.3988    2.1250    0.5500    1.7238
        4         1       3.5988    0.0000    0.7761    2.8227
        3         4       4.5655    2.1250    0.6610    1.7795
        1         1       4.4321    2.1250    0.6522    1.6549
        2         3       4.1655    1.4167    0.8308    1.9180
        4         6       4.4988    2.1250    0.7986    1.5752
        1         6       3.6988    0.0000    0.5368    3.1620
        3         6       3.5321    0.0000    0.9545    2.5777
        4         6       3.6655    0.0000    0.7563    2.9092
        3         7       3.8321    0.7083    0.6907    2.4331
        1         4       4.5655    2.1250    0.7495    1.6910
        3         3       3.7988    0.7083    0.8055    2.2849
        4         4       3.9655    0.7083    0.7535    2.5037
        3         2       4.2655    1.4167    0.8739    1.9749
        4         5       4.4321    2.1250    0.6217    1.6855
        2         5       3.6988    0.0000    0.6592    3.0396
        2         6       3.7988    0.7083    0.5762    2.5143
        2         5       3.9655    0.7083    0.7528    2.5044
        2         7       4.2655    1.4167    0.7393    2.1095
        3         7       3.6988    0.0000    0.5973    3.1015
