ToneOrder   AzOrder    TimeOrder     mtime     btime     rtime
        3         2       3.8637    0.7083    0.6371    2.5183
        4         5       4.4637    2.1250    0.5674    1.7713
        4         7       4.0304    1.4167    0.5812    2.0325
        1         5       4.0970    1.4167    0.5628    2.1175
        4         2       4.4304    2.1250    0.6322    1.6732
        4         2       3.6970    0.0000    0.8713    2.8257
        3         5       4.4304    2.1250    0.5139    1.7914
        4         3       4.0304    1.4167    0.7125    1.9012
        4         5       4.0637    1.4167    0.6078    2.0392
        1         7       4.0637    1.4167    0.8174    1.8296
        1         5       4.1970    1.4167    0.5878    2.1925
        4         4       3.8637    0.7083    0.6005    2.5549
        3         1       4.3970    2.1250    0.5033    1.7687
        1         2       3.8304    0.7083    0.8484    2.2736
        4         4       4.1637    1.4167    0.7129    2.0341
        2         5       3.8637    0.7083    0.8735    2.2818
        1         6       3.8637    0.7083    0.8340    2.3214
        1         6       3.5970    0.0000    0.8779    2.7192
        3         6       3.5970    0.0000    0.5229    3.0742
        4         7       3.7970    0.7083    0.7403    2.3484
        3         4       4.4304    2.1250    0.5269    1.7784
        2         3       3.9637    0.7083    0.5870    2.6684
        3         2       3.8970    0.7083    0.7565    2.4322
        3         5       4.5304    2.1250    0.6089    1.7965
        2         6       3.8970    0.7083    0.8318    2.3569
        1         7       3.8637    0.7083    0.8544    2.3010
        3         4       4.3970    2.1250    0.7175    1.5545
        3         6       4.2304    1.4167    0.6623    2.1514
        1         3       4.3970    2.1250    0.5776    1.6944
        3         6       4.4970    2.1250    0.5061    1.8660
        4         3       4.4970    2.1250    0.5461    1.8259
        2         4       3.9970    0.7083    0.6494    2.6393
        1         1       4.3304    2.1250    0.5458    1.6596
        1         4       4.4637    2.1250    0.7204    1.6183
        3         5       3.8304    0.7083    0.6631    2.4589
        1         2       4.3637    2.1250    0.7585    1.4801
        4         4       4.1970    1.4167    0.5378    2.2426
        4         2       4.2637    1.4167    0.6253    2.2217
        2         3       3.9637    0.7083    0.7805    2.4749
        4         4       3.9970    0.7083    0.8291    2.4596
        4         4       3.5304    0.0000    0.5832    2.9472
        1         5       3.8304    0.7083    0.8687    2.2533
        1         7       4.2970    1.4167    0.8624    2.0180
        4         7       3.6304    0.0000    0.5312    3.0991
        4         5       4.2970    1.4167    0.7934    2.0870
        2         3       4.2637    1.4167    0.6718    2.1752
        4         2       3.7970    0.7083    0.8418    2.2469
        1         4       4.0637    1.4167    0.7506    1.8965
        1         5       3.9970    0.7083    0.8257    2.4630
        1         6       4.0304    0.7083    0.5653    2.7567
        1         3       4.3970    2.1250    0.7773    1.4947
        4         3       3.6970    0.0000    0.5903    3.1067
        4         6       4.3637    2.1250    0.6243    1.6144
        2         6       3.7304    0.0000    0.9168    2.8135
        4         3       4.4637    2.1250    0.6580    1.6807
        2         5       4.0970    1.4167    0.5323    2.1480
        3         7       4.3077    1.4167    0.5160    2.3751
        3         4       4.4077    2.1250    0.5594    1.7234
        1         7       4.3744    2.1250    0.5823    1.6671
        4         6       3.8077    0.7083    0.6976    2.4018
        4         4       4.2744    1.4167    0.7428    2.1150
        2         5       3.9077    0.7083    0.8718    2.3276
        2         4       3.8077    0.7083    0.5397    2.5597
        4         5       3.9077    0.7083    0.5273    2.6721
        3         3       4.1077    1.4167    0.7341    1.9570
        3         1       4.0411    1.4167    0.5694    2.0550
        3         4       4.4077    2.1250    0.6332    1.6496
        3         1       4.3411    2.1250    0.7306    1.4855
        2         1       3.6077    0.0000    0.5854    3.0223
        1         3       4.1077    1.4167    0.5809    2.1101
        3         2       3.8077    0.7083    0.5831    2.5163
        2         1       3.9077    0.7083    0.8435    2.3560
        2         2       3.8744    0.7083    0.6783    2.4877
        4         4       4.2077    1.4167    0.5410    2.2501
        1         3       3.8744    0.7083    0.8497    2.3164
        1         5       4.0744    1.4167    0.7747    1.8830
        3         2       4.4744    2.1250    0.7272    1.6222
        4         1       4.0077    0.7083    0.7839    2.5155
        1         2       3.8744    0.7083    0.5069    2.6592
        3         5       4.3744    2.1250    0.5336    1.7158
        4         5       3.5411    0.0000    0.8452    2.6959
        2         7       4.2744    1.4167    0.6238    2.2339
        3         7       3.5411    0.0000    0.9398    2.6013
        1         4       4.4077    2.1250    0.6042    1.6785
        4         5       3.9411    0.7083    0.8907    2.3420
        2         4       3.8077    0.7083    0.6404    2.4590
        3         7       4.3411    2.1250    0.6644    1.5517
        3         4       4.5411    2.1250    0.6245    1.7915
        1         6       4.1077    1.4167    0.7191    1.9720
        2         3       4.5077    2.1250    0.7857    1.5971
        1         1       4.2744    1.4167    0.6157    2.2420
        1         3       4.0411    1.4167    0.7624    1.8620
        4         6       4.4744    2.1250    0.7648    1.5846
        3         6       3.6744    0.0000    0.7090    2.9654
        2         6       3.6744    0.0000    0.6423    3.0321
        4         7       3.8077    0.7083    0.7337    2.3657
        4         7       3.7411    0.0000    0.5705    3.1706
        1         6       4.0411    0.7083    0.8836    2.4491
        2         6       3.5744    0.0000    0.6265    2.9479
        2         3       4.5744    2.1250    0.7309    1.7185
        1         1       4.2411    1.4167    0.7209    2.1035
        3         4       4.5077    2.1250    0.6825    1.7003
        4         7       4.3411    2.1250    0.7242    1.4919
        2         7       3.6077    0.0000    0.7242    2.8835
        3         5       4.0744    1.4167    0.6271    2.0306
        4         6       3.8411    0.7083    0.8068    2.3259
        1         4       4.3077    1.4167    0.5493    2.3418
        2         7       4.4411    2.1250    0.5070    1.8091
        4         4       4.5411    2.1250    0.7733    1.6428
        4         3       4.0411    0.7083    0.5924    2.7403
        3         3       3.7077    0.0000    0.6439    3.0638
        1         6       4.4077    2.1250    0.7710    1.5117
        4         6       3.5994    0.0000    0.9228    2.6766
        2         4       4.1327    1.4167    0.7440    1.9721
        2         1       4.3661    2.1250    0.6812    1.5599
        2         3       4.2661    1.4167    0.8557    1.9937
        4         5       4.0994    1.4167    0.5975    2.0852
        1         2       4.4661    2.1250    0.5177    1.8234
        1         4       4.2661    1.4167    0.7742    2.0752
        1         1       4.3994    2.1250    0.6278    1.6466
        3         3       4.2327    1.4167    0.7025    2.1136
        2         2       3.8661    0.7083    0.8435    2.3142
        2         1       3.7994    0.7083    0.8589    2.2321
        3         3       4.2661    1.4167    0.5763    2.2731
        3         1       4.3327    1.4167    0.6480    2.2681
        2         2       3.8327    0.7083    0.6675    2.4569
        1         4       4.2661    1.4167    0.5893    2.2601
        3         3       3.8661    0.7083    0.7975    2.3602
        2         3       3.7327    0.0000    0.9117    2.8210
        1         1       4.0661    1.4167    0.5977    2.0517
        3         2       4.0327    0.7083    0.8535    2.4710
        3         1       3.8327    0.7083    0.6073    2.5171
        1         2       3.7994    0.7083    0.7947    2.2963
        4         1       3.9994    0.7083    0.6144    2.6767
        2         4       4.5994    2.1250    0.5363    1.9381
        1         3       3.9994    0.7083    0.8229    2.4681
        2         5       4.0661    1.4167    0.6094    2.0400
        2         2       4.5661    2.1250    0.5347    1.9063
        2         4       4.2994    1.4167    0.7642    2.1186
        2         2       4.1327    1.4167    0.6055    2.1106
        2         1       3.8327    0.7083    0.8824    2.2420
        4         3       4.1994    1.4167    0.7914    1.9913
        1         1       4.2994    1.4167    0.6277    2.2550
        3         4       4.5661    2.1250    0.6327    1.8083
        3         4       3.6994    0.0000    0.6055    3.0939
        3         6       4.0994    1.4167    0.7629    1.9198
        3         3       4.4661    2.1250    0.7045    1.6366
        2         4       3.7994    0.7083    0.7240    2.3670
        2         7       4.4327    2.1250    0.6406    1.6671
        2         5       4.2327    1.4167    0.8231    1.9930
        2         7       4.3327    1.4167    0.8522    2.0639
        4         4       4.4994    2.1250    0.5092    1.8652
        2         5       3.8327    0.7083    0.5317    2.5927
        3         2       4.5327    2.1250    0.7510    1.6568
        4         1       3.7994    0.7083    0.5649    2.5262
        4         1       3.7327    0.0000    0.5638    3.1690
        1         3       4.2994    1.4167    0.6789    2.2038
        1         6       4.4661    2.1250    0.6713    1.6698
        4         6       3.6661    0.0000    0.6577    3.0084
        1         6       3.7661    0.0000    0.5871    3.1790
        1         5       3.9327    0.7083    0.6036    2.6208
        3         7       4.1661    1.4167    0.5766    2.1728
        3         5       4.0994    1.4167    0.5770    2.1057
        1         4       3.7994    0.7083    0.5181    2.5730
        1         3       3.9327    0.7083    0.7736    2.4508
        1         3       3.5994    0.0000    0.6019    2.9975
        4         4       4.0327    0.7083    0.6162    2.7082
        2         4       3.5327    0.0000    0.7225    2.8103
        2         7       4.3601    2.1250    0.7223    1.5129
        1         4       4.5268    2.1250    0.6581    1.7437
        3         4       3.6268    0.0000    0.7853    2.8415
        3         7       4.4935    2.1250    0.5876    1.7809
        1         4       4.3935    2.1250    0.5847    1.6837
        2         4       3.7268    0.0000    0.7012    3.0256
        3         1       4.4935    2.1250    0.6583    1.7101
        2         4       4.4601    2.1250    0.6494    1.6857
        2         2       4.2935    1.4167    0.6622    2.2146
        3         2       3.6601    0.0000    0.9022    2.7579
        1         5       4.3935    2.1250    0.7732    1.4953
        4         2       4.5268    2.1250    0.5999    1.8019
        3         5       4.4601    2.1250    0.7504    1.5847
        4         3       4.0601    1.4167    0.5013    2.1422
        1         3       3.7268    0.0000    0.8663    2.8605
        1         4       3.8268    0.7083    0.7743    2.3441
        3         4       3.7268    0.0000    0.8570    2.8698
        3         6       4.2935    1.4167    0.6760    2.2008
        2         6       3.5601    0.0000    0.5297    3.0304
        4         7       3.8935    0.7083    0.5054    2.6797
        4         6       3.9601    0.7083    0.7192    2.5325
        3         3       4.4601    2.1250    0.6249    1.7102
        4         1       4.2601    1.4167    0.5463    2.2971
        3         3       4.1935    1.4167    0.8283    1.9485
        1         1       4.0935    1.4167    0.6130    2.0637
        2         3       4.0601    1.4167    0.6550    1.9885
        4         5       4.1268    1.4167    0.6026    2.1075
        3         5       3.7935    0.0000    0.6467    3.1468
        3         3       4.2935    1.4167    0.7128    2.1640
        3         2       3.8935    0.7083    0.7665    2.4186
        2         3       4.0268    0.7083    0.7655    2.5530
        3         3       3.5268    0.0000    0.8912    2.6356
        3         6       4.5601    2.1250    0.5426    1.8925
        2         5       3.9601    0.7083    0.7962    2.4556
        4         7       4.1935    1.4167    0.5020    2.2748
        3         7       3.6268    0.0000    0.8708    2.7560
        1         5       4.0935    1.4167    0.5431    2.1337
        2         2       4.3268    2.1250    0.6584    1.5434
        4         1       4.0268    0.7083    0.5301    2.7884
        2         1       3.7268    0.0000    0.9104    2.8164
        2         2       3.8601    0.7083    0.7675    2.3843
        4         2       3.6601    0.0000    0.5248    3.1354
        2         3       4.0601    0.7083    0.8329    2.5189
        2         5       4.1268    1.4167    0.5228    2.1873
        3         6       4.0601    0.7083    0.7988    2.5530
        4         3       4.4601    2.1250    0.6986    1.6366
        2         6       4.4601    2.1250    0.6997    1.6354
        4         5       3.8601    0.7083    0.8579    2.2939
        1         7       4.1935    1.4167    0.8342    1.9426
        4         5       4.2935    1.4167    0.7188    2.1580
        4         6       3.9268    0.7083    0.7195    2.4989
        1         5       3.9601    0.7083    0.7767    2.4750
        1         2       4.4935    2.1250    0.6945    1.6740
        4         1       3.7935    0.7083    0.6908    2.3943
        4         2       3.8935    0.7083    0.7380    2.4472
        4         3       4.0268    0.7083    0.5197    2.7988
        3         6       4.7435    2.1250    0.5972    2.0212
        3         5       4.1101    0.7083    0.6157    2.7861
        4         3       4.3101    1.4167    0.5060    2.3874
        4         2       4.2101    0.7083    0.7114    2.7904
        1         5       4.6101    2.1250    0.7743    1.7108
        3         2       4.7101    2.1250    0.6852    1.8999
        3         1       4.1768    0.7083    0.7772    2.6913
        4         2       4.1101    0.7083    0.5529    2.8489
        1         2       3.8435    0.0000    0.7532    3.0903
        2         2       3.8435    0.0000    0.6550    3.1885
        1         2       3.8101    0.0000    0.7393    3.0709
        1         1       4.1435    0.7083    0.7829    2.6522
        1         1       3.8435    0.0000    0.7408    3.1027
        1         2       4.1768    0.7083    0.8066    2.6619
        3         5       4.5435    2.1250    0.7809    1.6376
        1         7       4.4768    1.4167    0.8065    2.2536
        2         7       3.8101    0.0000    0.6081    3.2020
        3         7       3.9101    0.0000    0.8876    3.0225
        3         7       3.7435    0.0000    0.8435    2.8999
        1         6       4.2101    0.7083    0.7328    2.7690
        2         6       3.7101    0.0000    0.8266    2.8835
        4         6       3.9435    0.0000    0.7648    3.1786
        2         6       3.8101    0.0000    0.5574    3.2527
        1         7       4.1101    0.7083    0.6749    2.7269
        1         6       4.0101    0.7083    0.7730    2.5288
        3         6       3.7768    0.0000    0.7394    3.0373
        2         5       4.2101    0.7083    0.7344    2.7673
        4         7       4.2435    1.4167    0.8349    1.9919
        2         7       3.7768    0.0000    0.7942    2.9825
        2         7       3.8768    0.0000    0.7201    3.1567
        4         6       4.0101    0.7083    0.9041    2.3977
        4         7       4.0101    0.7083    0.5433    2.7585
        2         5       4.4435    1.4167    0.5393    2.4875
        2         6       4.0435    0.7083    0.6259    2.7092
        1         7       4.0435    0.7083    0.5293    2.8058
        2         7       3.8435    0.0000    0.9026    2.9409
        2         1       5.4768    4.2500    0.6483    0.5785
        4         1       3.7768    0.0000    0.6310    3.1458
        4         1       3.8101    0.0000    0.7564    3.0537
        4         2       3.9768    0.7083    0.6114    2.6571
        1         2       3.8435    0.0000    0.7503    3.0932
        2         2       3.8435    0.0000    0.7164    3.1270
        3         1       4.0768    0.7083    0.9160    2.4525
        3         1       3.9101    0.0000    0.7742    3.1360
        2         1       3.7768    0.0000    0.5465    3.2303
        3         2       4.2101    0.7083    0.5092    2.9926
        1         1       4.0768    0.7083    0.6043    2.7641
        4         1       3.8101    0.0000    0.6944    3.1157
        3         1       3.9435    0.0000    0.6857    3.2577
        2         1       3.8768    0.0000    0.6183    3.2585
        2         1       3.8101    0.0000    0.8421    2.9680
        3         7       5.5101    4.2500    0.5799    0.6802
        2         6       4.1101    0.7083    0.5775    2.8243
        3         7       4.0768    0.7083    0.6174    2.7510
        1         7       3.9435    0.0000    0.6684    3.2750
        1         7       3.7768    0.0000    0.9254    2.8513
