ToneOrder   AzOrder    TimeOrder     mtime     btime     rtime
        2         4       4.4643    2.1250    0.6067    1.7326
        2         6       4.2643    1.4167    0.8799    1.9677
        1         7       3.7310    0.7083    0.6642    2.3584
        3         5       4.2310    1.4167    0.7659    2.0484
        3         5       3.4643    0.0000    0.7750    2.6893
        4         6       3.8643    0.7083    0.8677    2.2883
        4         7       3.8976    0.7083    0.5128    2.6764
        3         5       4.1643    1.4167    0.7679    1.9798
        1         7       4.1310    1.4167    0.5179    2.1964
        3         6       3.9643    0.7083    0.5877    2.6683
        4         3       4.4643    2.1250    0.5579    1.7814
        4         5       4.0310    1.4167    0.7630    1.8513
        3         2       4.3643    2.1250    0.7311    1.5082
        3         5       4.4643    2.1250    0.7507    1.5885
        1         4       3.7310    0.7083    0.6192    2.4034
        4         6       4.1310    1.4167    0.5530    2.1613
        2         4       4.1643    1.4167    0.6423    2.1053
        2         2       4.1310    1.4167    0.8251    1.8892
        3         3       3.8976    0.7083    0.8727    2.3166
        1         5       4.1310    1.4167    0.7928    1.9215
        2         5       3.7310    0.0000    0.8916    2.8393
        1         2       4.4643    2.1250    0.7227    1.6166
        1         4       4.1310    1.4167    0.6956    2.0187
        4         2       4.1643    1.4167    0.6798    2.0678
        4         3       3.9976    0.7083    0.6263    2.6629
        3         4       3.7643    0.7083    0.7764    2.2795
        4         7       4.3976    2.1250    0.6399    1.6328
        4         4       4.3310    2.1250    0.5595    1.6464
        4         5       3.8310    0.7083    0.8032    2.3194
        3         3       4.0976    1.4167    0.7960    1.8850
        4         5       4.0643    1.4167    0.5901    2.0575
        3         7       4.1310    1.4167    0.5237    2.1906
        1         7       3.5643    0.0000    0.9600    2.6043
        4         4       4.3976    2.1250    0.5829    1.6898
        3         7       4.5310    2.1250    0.6588    1.7472
        1         5       4.0643    1.4167    0.5239    2.1237
        4         6       3.9643    0.7083    0.5803    2.6756
        2         5       3.8976    0.7083    0.5982    2.5911
        4         2       4.4976    2.1250    0.7071    1.6655
        2         4       3.9976    1.4167    0.5107    2.0703
        2         6       4.0976    1.4167    0.5427    2.1383
        1         4       4.2310    1.4167    0.8784    1.9358
        4         5       3.9643    0.7083    0.7167    2.5393
        3         7       4.1976    1.4167    0.5989    2.1820
        4         4       4.2643    2.1250    0.5766    1.5627
